3 [1, 31, 27, 3, 961, 0]
4 [1, 31, 27, 4, 961, 837]
5 [1, 31, 27, 5, 961, 0]
6 [1, 31, 27, 6, 961, 0]
8 [1, 31, 27, 8, 961, 0]
9 [1, 31, 28, 9, 961, 0]
10 [1, 31, 28, 10, 961, 0]
11 [1, 31, 28, 11, 961, 0]
3 [1, 31, 28, 3, 961, 0]
4 [1, 31, 28, 4, 961, 868]
5 [1, 31, 28, 5, 961, 0]
6 [1, 31, 28, 6, 961, 0]
8 [1, 31, 28, 8, 961, 0]
9 [1, 31, 29, 9, 961, 0]
10 [1, 31, 29, 10, 961, 0]
11 [1, 31, 29, 11, 961, 0]
3 [1, 31, 29, 3, 961, 0]
4 [1, 31, 29, 4, 961, 899]
5 [1, 31, 29, 5, 961, 0]
6 [1, 31, 29, 6, 961, 0]
8 [1, 31, 29, 8, 961, 0]
9 [1, 31, 30, 9, 961, 0]
10 [1, 31, 30, 10, 961, 0]
11 [1, 31, 30, 11, 961, 0]
3 [1, 31, 30, 3, 961, 0]
4 [1, 31, 30, 4, 961, 930]
5 [1, 31, 30, 5, 961, 0]
6 [1, 31, 30, 6, 961, 0]
8 [1, 31, 30, 8, 961, 0]
9 [1, 31, 31, 9, 961, 0]
10 [1, 31, 31, 10, 961, 0]
11 [1, 31, 31, 11, 961, 0]
3 [1, 31, 31, 3, 961, 0]
4 [1, 31, 31, 4, 961, 961]
5 [1, 31, 31, 5, 961, 1]
7 [1, 31, 31, 7, 961, 1]
[32, 31, 31, 7, 961, 1]





10 [0, 1, 959, 10, 961, 0]
11 [0, 1, 959, 11, 961, 0]
3 [0, 1, 959, 3, 961, 0]
4 [0, 1, 959, 4, 961, 959]
5 [0, 1, 959, 5, 961, 0]
6 [0, 1, 959, 6, 961, 0]
8 [0, 1, 959, 8, 961, 0]
9 [0, 1, 960, 9, 961, 0]
10 [0, 1, 960, 10, 961, 0]
11 [0, 1, 960, 11, 961, 0]
3 [0, 1, 960, 3, 961, 0]
4 [0, 1, 960, 4, 961, 960]
5 [0, 1, 960, 5, 961, 0]
6 [0, 1, 960, 6, 961, 0]
8 [0, 1, 960, 8, 961, 0]
9 [0, 1, 961, 9, 961, 0]
10 [0, 1, 961, 10, 961, 0]
11 [0, 1, 961, 11, 961, 0]
3 [0, 1, 961, 3, 961, 0]
4 [0, 1, 961, 4, 961, 961]
5 [0, 1, 961, 5, 961, 1]
7 [0, 1, 961, 7, 961, 1]
[1, 1, 961, 7, 961, 1]


3 [1, 30, 960, 3, 961, 0]
4 [1, 30, 960, 4, 961, 28800]
5 [1, 30, 960, 5, 961, 0]
6 [1, 30, 960, 6, 961, 0]
8 [1, 30, 960, 8, 961, 0]
9 [1, 30, 961, 9, 961, 0]
10 [1, 30, 961, 10, 961, 0]
11 [1, 30, 961, 11, 961, 0]
3 [1, 30, 961, 3, 961, 0]
4 [1, 30, 961, 4, 961, 28830]
5 [1, 30, 961, 5, 961, 0]
6 [1, 30, 961, 6, 961, 0]
8 [1, 30, 961, 8, 961, 0]
9 [1, 30, 962, 9, 961, 0]
10 [1, 30, 962, 10, 961, 1]
12 [1, 30, 962, 12, 961, 1]
[1, 31, 962, 12, 961, 1]
